PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
M4E,East Toronto,The Beaches,43.67653121600006,-79.29542499999997,1.0,Pub,Asian Restaurant,Trail,Neighborhood,Health Food Store,Fish & Chips Shop,Fast Food Restaurant,Fish Market,Farmers Market,Electronics Store
M4K,East Toronto,"Riverdale,The Danforth West",43.68317787500007,-79.35510499999998,3.0,Grocery Store,Park,Discount Store,Bus Line,Yoga Studio,Empanada Restaurant,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop
M4L,East Toronto,"The Beaches West,India Bazaar",43.66796500000004,-79.31466717299998,1.0,Gym,Italian Restaurant,Pet Store,Pizza Place,Pub,Movie Theater,Coffee Shop,Sandwich Place,Fast Food Restaurant,Fish & Chips Shop
M4M,East Toronto,Studio District,43.660628993000046,-79.33485499999995,1.0,Diner,Italian Restaurant,Café,Brewery,Pizza Place,Bakery,Sushi Restaurant,Bar,Arts & Crafts Store,Gastropub
M4N,Central Toronto,Lawrence Park,43.72842000000003,-79.38713269199997,2.0,Construction & Landscaping,Swim School,Bus Line,Yoga Studio,Empanada Restaurant,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Fast Food Restaurant
M4P,Central Toronto,Davisville North,43.71275500000007,-79.38851449699996,4.0,Food & Drink Shop,Department Store,Hotel,Convenience Store,Gym,Breakfast Spot,Park,Farmers Market,Event Space,Falafel Restaurant
M4R,Central Toronto,North Toronto West,43.71452278400005,-79.40695999999997,0.0,Playground,Gym Pool,Park,Garden,Electronics Store,Fish Market,Fish & Chips Shop,Fast Food Restaurant,Farmers Market,Farm
M4S,Central Toronto,Davisville,43.70339500000006,-79.38596360499997,1.0,Dessert Shop,Pizza Place,Coffee Shop,Sandwich Place,Café,Italian Restaurant,Gym,Indian Restaurant,Diner,Restaurant
M4T,Central Toronto,"Summerhill East,Moore Park",43.69068500000003,-79.38294574299994,4.0,Playground,Convenience Store,Gym,Electronics Store,Flea Market,Fish Market,Fish & Chips Shop,Fast Food Restaurant,Farmers Market,Farm
M4V,Central Toronto,"South Hill,Summerhill West,Rathnelly,Forest Hill SE,Deer Park",43.68607377100005,-79.40226499999994,1.0,Light Rail Station,Coffee Shop,Liquor Store,Supermarket,Yoga Studio,Empanada Restaurant,Flea Market,Fish Market,Fish & Chips Shop,Fast Food Restaurant
M4W,Downtown Toronto,Rosedale,43.68220500000007,-79.37794519699997,0.0,Playground,Candy Store,Gym / Fitness Center,Grocery Store,Park,Electronics Store,Fish Market,Fish & Chips Shop,Fast Food Restaurant,Farmers Market
M4X,Downtown Toronto,"St. James Town,Cabbagetown",43.66816000000006,-79.36660236199998,1.0,Coffee Shop,Café,Bakery,Pizza Place,Restaurant,Italian Restaurant,Breakfast Spot,Pub,Japanese Restaurant,Jewelry Store
M4Y,Downtown Toronto,Church and Wellesley,43.666585000000055,-79.38130203699995,1.0,Coffee Shop,Japanese Restaurant,Restaurant,Sushi Restaurant,Dance Studio,Gay Bar,Café,Pub,Hotel,Burger Joint
M5A,Downtown Toronto,Harbourfront,43.65029500000003,-79.35916572299999,1.0,Coffee Shop,Bakery,Boat or Ferry,Theater,French Restaurant,Pet Store,Performing Arts Venue,Ice Cream Shop,Breakfast Spot,Brewery
M5B,Downtown Toronto,"Garden District,Ryerson",43.65736301100003,-79.37817999999999,1.0,Coffee Shop,Clothing Store,Cosmetics Shop,Café,Middle Eastern Restaurant,Japanese Restaurant,Bookstore,Sporting Goods Shop,Burger Joint,Bakery
M5C,Downtown Toronto,St. James Town,43.65121000000005,-79.37548057699996,1.0,Coffee Shop,Café,Restaurant,Seafood Restaurant,Bakery,Hotel,Beer Bar,Cocktail Bar,Cosmetics Shop,Diner
M5E,Downtown Toronto,Berczy Park,43.64516015600003,-79.37367499999993,1.0,Coffee Shop,Cocktail Bar,Bakery,Breakfast Spot,Steakhouse,Hotel,Seafood Restaurant,Cheese Shop,Restaurant,Beer Bar
M5G,Downtown Toronto,Central Bay Street,43.65609081300005,-79.38492999999994,1.0,Coffee Shop,Clothing Store,Cosmetics Shop,Plaza,Bakery,Gym / Fitness Center,Café,Bubble Tea Shop,Bookstore,Sporting Goods Shop
M5H,Downtown Toronto,"Adelaide,Richmond,King",43.64970000000005,-79.38258157399997,1.0,Coffee Shop,Café,Hotel,Steakhouse,Japanese Restaurant,Bar,American Restaurant,Burger Joint,Restaurant,Gastropub
M5J,Downtown Toronto,"Harbourfront East,Union Station,Toronto Islands",43.630210000000034,-79.36243320899996,0.0,Harbor / Marina,Pier,Park,Yoga Studio,Electronics Store,Flea Market,Fish Market,Fish & Chips Shop,Fast Food Restaurant,Farmers Market
M5K,Downtown Toronto,"Design Exchange,Toronto Dominion Centre",43.64710000000008,-79.38153109899997,1.0,Coffee Shop,Hotel,Café,Seafood Restaurant,Bar,Italian Restaurant,Restaurant,Steakhouse,Gastropub,American Restaurant
M5L,Downtown Toronto,"Commerce Court,Victoria Hotel",43.64839500000005,-79.37886491099994,1.0,Coffee Shop,Café,Hotel,Restaurant,Gym,Japanese Restaurant,Italian Restaurant,Seafood Restaurant,Steakhouse,Beer Bar
M5P,Central Toronto,"Forest Hill North,Forest Hill West",43.69478500000008,-79.41440483299994,0.0,Pharmacy,French Restaurant,Park,Yoga Studio,Elementary School,Flea Market,Fish Market,Fish & Chips Shop,Fast Food Restaurant,Farmers Market
M5R,Central Toronto,"Yorkville,The Annex,North Midtown",43.674840000000074,-79.40376823999998,1.0,Sandwich Place,Café,Coffee Shop,French Restaurant,Burger Joint,Flower Shop,Liquor Store,Mexican Restaurant,Middle Eastern Restaurant,Modern European Restaurant
M5S,Downtown Toronto,"University of Toronto,Harbord",43.663110000000074,-79.40180056699995,1.0,Café,Restaurant,Bakery,Gym,Italian Restaurant,Japanese Restaurant,Bookstore,Coffee Shop,Bar,Pizza Place
M5T,Downtown Toronto,"Kensington Market,Chinatown,Grange Park",43.653530000000046,-79.39723268299997,1.0,Café,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Chinese Restaurant,Dumpling Restaurant,Coffee Shop,Mexican Restaurant,Thai Restaurant,Farmers Market,Comfort Food Restaurant
M5V,Downtown Toronto,"King and Spadina,Railway Lands,South Niagara,CN Tower,Island airport,Harbourfront West,Bathurst Quay",43.64081500000003,-79.39953781899999,1.0,Coffee Shop,Italian Restaurant,Bar,Café,Gym / Fitness Center,Spa,Restaurant,Pub,Electronics Store,Bakery
